103,Gainsboro,Sienna 4,Sgi Gray 76,Bisque 4,Steelblue 4,Dodgerblue 4
104,Gray 70,Gainsboro,Sienna 3,Gray 60,Gray 25,Warmgrey
105,Gray 85,White Smoke 2,Rosybrown,Gray 30,Gray 20,Rosybrown 4
106,Sepia,Rosybrown,Seashell 3,Gray 35,Gray 10,Sepia
107,Burlywood 4,Burlywood 3,Gray 25,Bisque 2,Firebrick 4,Gray 10
108,Darkolivegreen,Darkslategray,Lightblue 4,Gray 70,Gray 20,Gray 20
109,Sepia,Lightsalmon 4,Peru,Gray 10,Gray 1,Rosybrown
110,Tan 4,Lightsalmon 3,Antiquewhite 4,Burlywood 4,Gray 25,Gray 85
111,Antiquewhite 2,Navajowhite 2,Lightsalmon 3,Burlywood 4,Sepia,Tan 4
112,Gray 45,Gray 60,Gray 70,White Smoke 2,Gray 20,Sgi Darkgray
113,Ivory 4,Gainsboro,Gray 70,Snow 2,Gray 30,Burlywood 4
114,Snow 2,Lightgoldenrod 4,Bisque 3,Orange 2,Darkolivegreen,Mistyrose 2
115,Sepia,Sienna,Coral 4,Peachpuff 4,Ivoryblack,Tan 2
116,Sgi Gray 56,Palevioletred 4,Mistyrose 3,Gray 85,Sepia,Gray 95
117,Darkolivegreen,Gray 20,Darkslateblue,Sgi Lightgray,Gray 20,Gray 90
118,Seagreen 4,Lightcyan 4,Rosybrown,Lightgrey,Sgi Gray 16,Sgi Brightgray
119,Gray 40,Sgi Olivedrab,Olivedrab 4,Lemonchiffon 3,Gray 20,Gainsboro
120,Lightgrey,Sienna 2,Sgi Brightgray,Melon,Khaki 4,Darkorange 1
121,Salmon,Tomato 2,Burlywood 3,Snow 2,Sienna 4,Navajowhite 4
122,Rosybrown 3,Lavenderblush 3,Lightpink 4,Azure 2,Indianred 4,Sgi Salmon
123,Gray 40,Lightslategray,Gray 85,Gray 25,Midnightblue,Cobalt
124,Gray 85,Royalblue 4,Brick,Cobalt,Sgi Gray 16,Gray 30
125,Lightcyan 2,Steelblue 2,Sienna 3,Paleturquoise 4,Darkslategray,Banana
126,Azure 3,Burlywood 3,Azure 2,Brick,Sepia,Darkgray
127,Steelblue 4,Wheat 3,Skyblue 3,Brick,Sepia,Gainsboro
128,Gray 25,Gray 75,Gainsboro,Gray 45,Sgi Gray 16,Sgi Darkgray
129,Gray 85,Navajowhite 4,Gray 60,Lemonchiffon 3,Sgi Gray 16,Darkolivegreen
130,Snow 2,Firebrick 3,﻿Indian Red,Indianred 2,Brown 3,Gray 30
131,Lightgoldenrod 4,Navajowhite 2,Peru,Oldlace,Sepia,Darkkhaki
132,Lavenderblush 3,Gray 20,Sgi Darkgray,Gray 90,Gray 10,Bisque 4
133,Antiquewhite 3,Deeppink 3,Sienna,Deeppink 4,Sepia,Bisque 4
134,Deepskyblue 3,Sgi Lightblue,Dodgerblue 4,Deepskyblue 4,Brown 4,Lavenderblush 3
135,Gray 95,Sgi Gray 76,Gray 45,Gray 30,Gray 10,Gray 20
136,Olivedrab,Darkgray,Ivory 3,Lemonchiffon 4,Gray 20,Darkolivegreen
137,Sienna 4,Wheat 3,Darkorange 3,Wheat 4,Sepia,Sepia
138,Gray 20,Navajowhite 4,Ivoryblack,Gray 70,Gray 10,Gray 30
139,Seashell 2,Sgi Olivedrab,Darkolivegreen,Gray 35,Gray 20,Banana
140,Goldenrod,Wheat 4,Tan 4,Peachpuff 3,Sepia,Linen
141,Gray 45,Sgi Gray 76,Gray 60,Lightcyan 2,Sgi Gray 16,Darkslategray
142,Gray 99,Gray 20,Gray 35,Gray 25,Ivoryblack,Warmgrey
143,Gray 90,﻿Indian Red,Peachpuff 3,Tan 2,Sepia,Peachpuff 4
144,Chocolate 3,Burlywood 4,Peru,Peachpuff 3,Sepia,Tomato 4
145,Warmgrey,Darkolivegreen,Khaki 3,Gray 85,Ivoryblack,Sgi Olivedrab
146,Gray 85,Salmon 4,Burlywood 4,Rosybrown,Seagreen 4,Rosybrown 3
147,Gray 60,Sgi Gray 36,Gray 45,Lightsteelblue,Gray 25,Gainsboro
148,Snow 2,Lightsalmon 3,Gray 65,Antiquewhite 3,Sgi Gray 16,Sgi Darkgray
149,Firebrick,Orangered 4,Lightgoldenrod 4,Navajowhite 3,Salmon 4,Sienna 3
150,Ivoryblack,Darkkhaki,Gray 25,Darkolivegreen 4,Gray 10,Gray 20
151,Sienna 3,Darkred,Gray 35,Maroon 5,Ivoryblack,Sgi Gray 76
152,Navajowhite 2,Lightsalmon 3,Sgi Gray 16,Tomato 3,Indianred 4,Sgi Lightblue
153,Orangered 4,Burlywood 4,Orangered 4,Orangered 3,Sepia,Bisque 2
154,Bisque 3,Linen,Burlywood 2,Coral 3,Goldenrod 3,Salmon 2
155,Burlywood 4,Seashell 2,Brown 3,Burntumber,Gray 10,Rosybrown 3
156,Bisque 4,Darkolivegreen,Rosybrown,Burlywood 4,Gray 20,Lightgrey
157,Mediumpurple 2,Orchid 4,White Smoke 2,Sgi Slateblue,Gray 30,Palevioletred 3
158,Sgi Gray 16,Wheat,Lightsalmon 3,Gray 20,Gray 30,Lightsalmon 4
159,Gray 60,Gray 70,Snow 3,White Smoke 2,Gray 35,Gray 50
160,Sgi Olivedrab,Slategray 4,Azure 3,Palegoldenrod,Darkolivegreen,Gray 65
161,Gray 70,Gray 90,Sgi Lightblue,Snow 3,Gray 50,Gray 99
162,Lightgoldenrod 4,Rosybrown 4,Ivory 2,Tan 4,Gray 20,Burlywood 3
163,Sienna,Navajowhite 3,Linen,Seashell 3,Sepia,Lightsalmon 3
164,Carrot,Ivory 3,Burlywood,Warmgrey,Darkolivegreen,Darkseagreen
165,Lightyellow 4,Burlywood 4,Ivoryblack,Sgi Gray 76,Gray 5,Snow 2
166,Gray 40,Snow 3,Sgi Lightgray,Gray 90,Ivoryblack,Gray 25
167,Rosybrown,Seashell 2,Gray 30,Burlywood 4,Gray 20,Salmon 4
168,Gray 60,Khaki 4,Gray 20,Sapgreen,Ivoryblack,Lightgrey
169,Darkseagreen,Snow 2,Palevioletred 3,Wheat 4,Gray 30,Lightgrey
170,Mistyrose 2,Sgi Salmon,Snow 1,Bisque 3,Firebrick 4,Sienna
171,Gray 99,Gray 75,Azure 2,Ivory 4,Sgi Gray 36,Gray 80
172,Sgi Gray 36,Ivory 2,Warmgrey,Gray 70,Gray 25,Gray 65
173,Gray 85,White Smoke 2,Bisque 3,Darkgoldenrod 1,Black*,Orangered 3
174,Salmon 4,Gray 20,Rosybrown,Lemonchiffon 4,Ivoryblack,Burlywood 4
175,Rosybrown 2,Midnightblue,Lightpink 3,Sgi Salmon,Gray 10,Plum 4
176,Gainsboro,Cobaltgreen,Rosybrown,Lightsalmon 4,Gray 20,Mediumseagreen
177,Brown,Mistyrose 2,Peachpuff 3,Darkolivegreen,Ivoryblack,Burlywood 4
178,Lightsteelblue 4,Salmon 4,Sgi Gray 36,Gray 70,Gray 25,Gray 60
